TrainerID,Name,Surname,BirthDate,Gender,TrainerType,CountryID,FitnessCenterID
2001,Tracee,Bliven,1984/01/27,Z,Pomocni,226,162
2002,Karisa,Dasent,1993/03/07,M,Pomocni,340,636
2003,Bell,McLernon,1990/04/19,Z,Pomocni,102,171
2004,Haley,O'Suaird,1989/08/24,Z,Pomocni,735,943
2005,Mitzi,Pilipyak,1994/10/25,Z,Glavni,604,770
2006,Bethanne,O'Geneay,2002/10/18,Z,Pomocni,152,87
2007,Eimile,Gettone,2005/05/07,M,Glavni,459,30
2008,Horten,Clinton,2007/04/07,Z,Glavni,799,934
2009,Adolphus,Mound,1990/07/01,Z,Pomocni,54,531
2010,Dyanna,Bruhke,1993/04/12,M,Glavni,556,601
2011,Tonie,Tinmouth,2009/03/05,M,Glavni,718,562
2012,Yancey,Challes,1984/12/29,Z,Glavni,916,359
2013,Polly,McIndoe,2005/10/25,Z,Glavni,519,685
2014,Raff,Ringwood,2008/05/14,Z,Pomocni,774,378
2015,Jourdain,Drewell,1999/04/06,Z,Glavni,747,144
2016,Bethany,Coskerry,2007/12/15,M,Glavni,561,231
2017,Shoshanna,Tickle,2007/06/10,M,Pomocni,553,535
2018,Pooh,Whiteside,1999/10/12,Z,Pomocni,817,353
2019,Isabeau,Agron,2007/02/16,M,Glavni,344,658
2020,Annice,Oven,1996/04/04,M,Glavni,693,266
2021,Annabell,Lakes,2007/05/15,M,Pomocni,706,434
2022,Nial,Dwine,2002/11/27,M,Glavni,247,216
2023,Gay,Feige,2006/12/01,Z,Pomocni,363,687
2024,Chery,Dorr,1992/03/26,Z,Glavni,821,785
2025,Had,McEllen,2007/01/17,M,Glavni,869,911
2026,Muffin,Skains,1997/01/28,Z,Pomocni,864,461
2027,Matilda,Mollene,2008/03/25,M,Pomocni,518,345
2028,Sollie,Clemanceau,1987/08/02,Z,Pomocni,852,753
2029,Sandy,Dunniom,2005/04/04,Z,Pomocni,420,435
2030,Caleb,Ansteys,1989/08/28,Z,Pomocni,482,589
2031,Spense,Gathercoal,1990/09/03,Z,Glavni,839,569
2032,Adele,Anderton,1988/08/16,M,Glavni,936,326
2033,Noland,Hendrichs,2005/09/12,M,Pomocni,4,890
2034,Gill,Kettow,2001/04/27,M,Pomocni,645,219
2035,Fawne,Tottem,1985/12/27,M,Pomocni,976,664
2036,Bambi,Pittendreigh,1997/04/04,M,Glavni,653,581
2037,Susie,Stockill,1989/06/17,Z,Pomocni,385,346
2038,Vida,Simes,1997/11/22,M,Glavni,411,873
2039,Wayland,Remmer,1991/10/11,Z,Pomocni,669,427
2040,Kenn,Burnyate,2006/07/13,Z,Glavni,661,392
2041,Arlan,O'Moylan,1986/06/04,M,Pomocni,707,750
2042,Phelia,Ambrogioni,2004/09/30,M,Glavni,5,776
2043,L;urette,Maher,1988/09/26,M,Glavni,688,635
2044,Taffy,Skitterel,1993/11/08,Z,Glavni,322,45
2045,Deny,Hellcat,1997/07/19,M,Glavni,737,793
2046,Bathsheba,Callum,1986/12/17,Z,Glavni,371,480
2047,Hersh,Tolley,1992/01/22,Z,Glavni,615,732
