TrainerID,Name,Surname,BirthDate,Gender,TrainerType,CountryID,FitnessCenterID
1001,Fonz,Hehnke,1986/06/21,Z,Pomocni,480,179
1002,Alexandre,Monier,1988/09/05,Z,Pomocni,190,236
1003,Carmine,Curm,2002/02/15,M,Pomocni,683,992
1004,Inger,Lulham,1997/01/13,Z,Pomocni,293,609
1005,Mathilda,Webbe,2004/10/21,Z,Pomocni,255,775
1006,Marcie,Bernasek,1987/01/03,M,Glavni,592,352
1007,Ulberto,Coles,1982/10/14,M,Glavni,39,507
1008,Sara,Comley,2008/04/15,M,Glavni,493,349
1009,Genny,Liccardi,1981/02/14,M,Glavni,97,812
1010,Alisa,Tiron,1984/08/06,Z,Glavni,31,310
1011,Aleta,Kirkby,2006/08/20,M,Glavni,407,637
1012,Jerrylee,Clowney,2007/03/04,Z,Glavni,614,755
1013,Calida,Fidock,1987/08/02,M,Pomocni,187,695
1014,Laney,Nannoni,1995/12/20,M,Pomocni,57,493
1015,Shannan,Dunstan,1992/07/03,M,Pomocni,358,660
1016,Chrissie,Dupey,2005/03/23,M,Glavni,27,836
1017,Tera,Dunstone,1987/03/31,Z,Glavni,180,539
1018,Constantine,Whitley,2003/09/28,Z,Pomocni,360,176
1019,Datha,Strathdee,2003/01/03,M,Pomocni,387,742
1020,Loria,Lukasik,1984/09/13,M,Glavni,496,363
1021,Craig,Borthram,2010/02/25,Z,Glavni,401,759
1022,Bobina,Dunbobbin,2007/06/20,M,Pomocni,134,24
1023,Mylo,Gravenell,1989/03/30,Z,Pomocni,617,677
1024,Terrell,MacRedmond,2009/07/02,M,Glavni,877,167
1025,Eldredge,Tippin,1989/05/21,Z,Pomocni,822,809
1026,Bel,Pendle,2009/05/07,Z,Glavni,899,840
1027,Richard,Muncer,1984/10/05,Z,Glavni,329,750
1028,Carmelina,Cloute,1998/11/09,M,Glavni,526,446
1029,Enrica,Guilloud,1997/08/10,Z,Glavni,41,357
1030,Corrinne,Duxbury,1998/08/05,Z,Pomocni,640,163
1031,Hannah,Nemchinov,1998/05/19,Z,Pomocni,317,448
1032,Elnora,Cano,1983/11/02,Z,Glavni,669,472
1033,Mahala,Headingham,2002/12/22,Z,Glavni,980,99
1034,Noble,Mucklow,1987/10/19,M,Pomocni,759,982
1035,Dougie,Ninotti,1997/07/11,Z,Glavni,13,102
1036,Dee,O'Meara,1986/03/01,Z,Pomocni,50,684
1037,Mercie,Weadick,2010/02/26,Z,Pomocni,590,975
1038,Kinna,Lackeye,2001/02/04,Z,Pomocni,627,646
1039,Lyman,Yanele,1991/04/08,Z,Glavni,147,749
1040,Tyrone,Gergler,1997/08/12,M,Pomocni,48,326
1041,Wilden,Raphael,2003/06/16,M,Pomocni,207,315
1042,Joshia,Chellam,1998/12/12,Z,Glavni,342,585
1043,Dorthea,Bilovsky,1984/09/20,M,Glavni,313,120
1044,Brendan,Janodet,1986/04/21,M,Pomocni,844,634
1045,Dominga,Denyukhin,1984/06/14,Z,Pomocni,362,460
1046,Minnie,Spofforth,2006/04/23,Z,Glavni,930,680
1047,Lela,Impey,2009/12/09,M,Pomocni,43,25
1048,Hannie,Walklot,2005/04/22,Z,Glavni,634,537
1049,Skylar,Offner,1982/08/15,M,Glavni,510,282
1050,Bobbee,Oade,1996/11/25,Z,Glavni,881,663
1051,Seumas,Joul,2000/12/26,M,Glavni,695,862
1052,Evangelia,Bambery,1987/08/17,M,Glavni,241,151
1053,Cullen,Livsey,2002/10/05,Z,Pomocni,229,871
1054,Layne,Manzell,1995/05/21,Z,Pomocni,457,621
1055,Gabriel,Henke,1996/12/06,M,Pomocni,337,250
1056,Jacquetta,Pury,2008/05/01,Z,Glavni,253,535
1057,Virginia,Benasik,1988/01/22,M,Pomocni,795,280
1058,Marlowe,Hartshorne,1987/09/11,Z,Pomocni,596,951
